fhrsid,business_name,category,postcode,v3_rank,v3_final,v3_band,v3_confidence,v4_final,v4_class,v4_rankable,v4_league_eligible,delta,v4_trust,v4_customer,v4_commercial,v4_platforms,v4_reviews,v3_sentiment,v3_red_flags,v3_google_tier,v4_penalties,v4_caps,primary_reason,reason_tags
503216,Welcombe Hotel Golf Resort \& Spa,Hotel / Accommodation,CV37 0NR,188,4.0,Improvement Necessary,Low,6.249,Rankable-B,True,True,2.249,4.224,7.631,7.5,google,1394,,0,9.2,,,google_de_overweight,google_de_overweight|missing_source_discipline
1452414,Subway,Fast Food / Quick Service,CV37 0HZ,186,4.0,Improvement Necessary,Low,6.083,Rankable-B,True,True,2.083,4.583,6.944,7.5,google,256,,0,7.655,,,missing_source_discipline,missing_source_discipline
1911092,Coughton Court Cafe,Cafe / Coffee Shop,B49 5JA,,1.612,Insufficient Data,Insufficient,3.686,Directional-C,False,False,2.074,,7.358,2.5,google,13,,0,7.085,,,low_evidence_gating,low_evidence_gating|missing_source_discipline|shrinkage_low_counts
1912631,Shipston Bengal Cuisine,Indian Restaurant,CV36 4PP,,2.638,Insufficient Data,Insufficient,4.656,Directional-C,False,False,2.018,,7.847,7.5,google,127,,0,7.877,,,low_evidence_gating,low_evidence_gating|missing_source_discipline
1485802,Kitty's Kitchen Catering Ltd,Catering,CV37 7AY,43,8.989,Excellent,Low,7.036,Rankable-B,True,True,-1.953,7.0,8.581,2.5,google,121,,0,8.457,,STALE-2Y,penalty_logic,penalty_logic|missing_source_discipline
502970,China Garden,Chinese Restaurant,CV37 6NL,185,4.0,Improvement Necessary,Low,5.651,Rankable-B,True,True,1.651,4.357,6.186,7.5,google,148,,0,7.303,,,missing_source_discipline,missing_source_discipline
1089841,Cotswold Distillery Cafe,Cafe / Coffee Shop,CV36 5HG,33,9.117,Excellent,Low,7.534,Rankable-B,True,True,-1.583,7.0,9.687,2.5,google,1239,,0,9.92,,STALE-2Y,penalty_logic,penalty_logic|missing_source_discipline
1721314,Aston Martin Lagonda,Other,CV35 0DB,,9.746,Not Ranked,Low,8.214,Rankable-B,True,True,-1.532,9.579,8.906,2.5,google,468,,0,9.24,,,missing_source_discipline,missing_source_discipline
503102,Ashorne Hill Management College,Other,CV33 9QW,15,9.355,Excellent,Low,7.853,Rankable-B,True,True,-1.502,9.856,8.69,0.0,google,489,,0,9.186,,,missing_source_discipline,missing_source_discipline
503054,Stratford Manor Hotel,Hotel / Accommodation,CV37 0PY,9,9.63,Excellent,Low,8.147,Rankable-B,True,True,-1.483,9.912,7.628,5.0,google,1179,,0,9.2,,,google_de_overweight,google_de_overweight|missing_source_discipline
