id,fhrsid,name,rcs_v4_final,base_score,adjusted_score,confidence_class,coverage_status,rankable,league_table_eligible,companies_house,penalties,caps
241416,241416,Eurest c/o Royal Mail @ Parcelforce National,6.764,6.764,6.764,Directional-C,coverage-partial,False,False,unmatched,[],[]
241372,241372,Piccolinos,8.422,8.422,8.422,Rankable-B,coverage-ready,True,True,unmatched,[],[]
516911,516911,Bebas,8.865,8.865,8.865,Rankable-B,coverage-ready,True,True,unmatched,[],[]
241926,241926,Stoneleigh Deer Park Golf Club,8.398,8.398,8.398,Rankable-B,coverage-ready,True,True,unmatched,[],[]
241896,241896,Ten Pin,8.253,8.253,8.253,Rankable-B,coverage-ready,True,True,unmatched,[],[]
242555,242555,Himalayan Restaurant & Bar,8.379,8.379,8.379,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1106945,1106945,Carisma Tapas Bar,4.918,4.918,4.918,Directional-C,coverage-partial,False,False,unmatched,[],[]
241660,241660,Kenilworth Castle ( English Heritage),8.987,8.987,8.987,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1682274,1682274,Coffee & Chatz St Michaels Hospital,6.708,6.708,6.708,Rankable-B,coverage-ready,True,True,unmatched,[],"[{""code"": ""STALE-2Y"", ""effect"": ""TrustCompliance soft cap 7.0"", ""reason"": ""days_since_rd=857, r=5""}]"
241367,241367,The Ark,8.261,8.261,8.261,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1171057,1171057,Expresso Station,7.097,7.097,7.097,Rankable-B,coverage-partial,True,True,unmatched,[],[]
242007,242007,OCS Group UK Ltd-Midcounties Co-operative,7.96,7.96,7.96,Rankable-B,coverage-ready,True,True,unmatched,[],[]
623680,623680,Le Raj Spice,8.412,8.412,8.412,Rankable-B,coverage-ready,True,True,unmatched,[],[]
241377,241377,Fordsfield Centre,0.0,1.125,1.125,Profile-only-D,coverage-partial,False,False,unmatched,[],[]
242351,242351,Garden Kitchen Cafe,8.497,8.497,8.497,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1750714,1750714,Bewiched,8.402,8.402,8.402,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1568190,1568190,Aramark@Warwick Castle,8.349,8.349,8.349,Rankable-B,coverage-ready,True,True,unmatched,[],[]
242650,242650,Full House Chinese Restaurant,4.763,4.763,4.763,Directional-C,coverage-partial,False,False,unmatched,[],[]
1524563,1524563,Forget Me Not Cafe,8.291,8.291,8.291,Rankable-B,coverage-partial,True,True,matched,[],[]
242424,242424,Herb,8.934,8.934,8.934,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1377672,1377672,1 Mill Street Coffee House,8.446,8.446,8.446,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1801306,1801306,KFC Leamington Spa,7.167,7.167,7.167,Rankable-B,coverage-ready,True,True,unmatched,[],[]
351798,351798,Tartine,7.722,7.722,7.722,Rankable-B,coverage-ready,True,True,unmatched,[],"[{""code"": ""STALE-2Y"", ""effect"": ""TrustCompliance soft cap 7.0"", ""reason"": ""days_since_rd=737, r=5""}]"
351777,351777,Nomad,8.468,8.468,8.468,Rankable-B,coverage-ready,True,True,unmatched,[],[]
585380,585380,Costa,7.872,7.872,7.872,Rankable-B,coverage-partial,True,True,unmatched,[],[]
