id,fhrsid,name,rcs_v4_final,base_score,adjusted_score,confidence_class,coverage_status,rankable,league_table_eligible,companies_house,penalties,caps
1662496,1662496,Coffee Clouds,8.159,8.159,8.159,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1754519,1754519,Nanas Caff,7.938,7.938,7.938,Directional-C,coverage-partial,False,False,unmatched,[],[]
1735216,1735216,The Stables,8.871,8.871,8.871,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1699665,1699665,Nel's At The Pavilion,9.057,9.057,9.057,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1467814,1467814,Stratford Adventure Golf,8.749,8.749,8.749,Rankable-B,coverage-ready,True,True,unmatched,[],[]
503282,503282,Arrow Mill,9.421,9.421,9.421,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1774610,1774610,Digby's Events,3.87,3.87,3.87,Directional-C,coverage-partial,False,False,unmatched,[],[]
1266889,1266889,Turkish Stonebakers,8.499,8.499,8.499,Rankable-B,coverage-ready,True,True,unmatched,[],[]
503342,503342,Burger King - Northbound,7.356,7.356,7.356,Directional-C,coverage-partial,False,False,unmatched,[],[]
1908606,1908606,Bruno's Bakery,8.933,8.933,8.933,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1796547,1796547,Feel Good Crystals,9.457,9.457,9.457,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1756585,1756585,Annie's Cafe & Event Catering,8.715,8.715,8.715,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1690228,1690228,Compton Verney Cafe,4.54,4.54,4.54,Directional-C,coverage-partial,False,False,unmatched,[],[]
1029137,1029137,The Buck And Bell,7.849,7.849,7.849,Rankable-B,coverage-ready,True,True,unmatched,[],[]
503261,503261,Thespians Indian Restaurant,7.848,7.848,7.848,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1871632,1871632,Sorrento Restaurant Taste Of Italy,7.769,7.769,7.769,Rankable-B,coverage-ready,True,True,unmatched,[],[]
503444,503444,Crowne Plaza,8.199,8.199,8.199,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1155879,1155879,Mid-England Barrow Ltd,6.248,6.248,6.248,Directional-C,coverage-partial,False,False,unmatched,[],"[{""code"": ""STALE-5Y"", ""effect"": ""TrustCompliance cap 5.0"", ""reason"": ""days_since_rd=2446""}]"
1339998,1339998,Cotswold Cafe,9.349,9.349,9.349,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1056848,1056848,Espresso Barn,8.028,8.028,8.028,Rankable-B,coverage-partial,True,True,unmatched,[],[]
502863,502863,Hotel Indigo And The Woodsman,8.557,8.557,8.557,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1019047,1019047,Miller And Carter,8.581,8.581,8.581,Rankable-B,coverage-ready,True,True,unmatched,[],"[{""code"": ""STALE-2Y"", ""effect"": ""TrustCompliance soft cap 7.0"", ""reason"": ""days_since_rd=746, r=5""}]"
504050,504050,Bishops Bowls Lake Cafe,7.328,7.328,7.328,Rankable-B,coverage-ready,True,True,unmatched,[],[]
